id,question,theme
1995,What division is based at Fort Hamilton?,New_York_City
1996,What brigade is headquartered at Fort Hamilton?,New_York_City
1997,The U.S. military has only one active location in NYC named what?,New_York_City
1998,Which borough can Fort Hamilton be found?,New_York_City
1999,Fort Wadsworth and Fort Totten are located in which area of New York City?,New_York_City
2000,What was the population of New York City in 2014?,New_York_City
2001,What is the US city with the second largest population?,New_York_City
2002,How many people moved to New York City between April 2010 and July 2014?,New_York_City
2003,What is the population of NYC as of 2014?,New_York_City
2004,The second largest city in the US is what?,New_York_City
2005,What percentage of people that live in the state of New York live in New York City?,New_York_City
2006,What percentage of the city's population is Caucasian?,New_York_City
2007,What ethnicity is growing the quickest in New York City?,New_York_City
2008,What percentage of the population identifies as Hispanic?,New_York_City
2009,Since what event did the first time black people decline in living in NYC?,New_York_City
2010,Which race of people made it the highest growing ethnicity between 2000-2010 in NYC?,New_York_City
2011,What percentage of Africans make up NYC?,New_York_City
2012,How many immigrants arrived at Ellis Island from 1892 to 1924?,New_York_City
2013,'Melting pot' was first used to describe neighborhoods in what area of the city?,New_York_City
2014,What percentage of the population was Caucasian in 1940?,New_York_City
2015,What was the ethnicity of the second largest group of immigrants in 1900?,New_York_City
2016,"Between 1892-1924, how many immigrants came through Ellis Island?",New_York_City
2017,"In the year 1942, what percentage of white Americans made up New York City?",New_York_City
2018,About how many immigrants from Bangladesh lived in the city in 2013?,New_York_City
2019,What country was the second largest source of foreign-born New Yorkers in 2011?,New_York_City
2020,What percentage of the population of NYC was born in another country?,New_York_City
2021,What New York borough contains the highest population of Asian-Americans?,New_York_City
2022,What borough housed the first Chinatown in New York?,New_York_City
2023,What percentage of the New York City population is Japanese?,New_York_City
2024,How many non-Hispanic whites lived in New York City in 2012?,New_York_City
2025,What is the non-Hispanic white population of Houston?,New_York_City
2026,How many New York City residents are of Greek heritage?,New_York_City
2027,NYC has the largest white population by how many people?,New_York_City
2028,"As of 2012, how many Jewish people lived in the New York metropolitan area?",New_York_City
2029,What percentage of the total Indian-American population of the United States lives in the New York metropolitan area?,New_York_City
2030,How many Hispanic people live in the New York metropolitan area?,New_York_City
2031,Approximately how many Chinatowns exist in New York City?,New_York_City
2032,What nation provided the most legal immigrants to New York City in the Caribbean?,New_York_City
2033,"Out of all nations in Central America, which provided the most legal immigrants in 2013?",New_York_City
2034,On what date did New York legalize gay marriage?,New_York_City
2035,How many days after gay marriage was legalized were gay marriages allowed to take place?,New_York_City
2036,How many people identify as gay or bisexual in NYC?,New_York_City
2037,Same-sex marriage became legal on what date in New York?,New_York_City
2038,"Since Gay marriage became legal, how many days did people have to wait to marry?",New_York_City
2039,What percentage of New Yorkers are Christians?,New_York_City
2040,What percentage of New Yorkers follow the Catholic faith?,New_York_City
2041,What borough has the largest population of Jewish people?,New_York_City
2042,What is the third most popular faith in New York City?,New_York_City
2043,What was the most prominent religion in New York as of 2014?,New_York_City
2044,Half the population of Jews live in what borough of New York City?,New_York_City
2045,What percentage of people in 2014 had no religion?,New_York_City
2046,What is New York City's Gini Coefficient?,New_York_City
2047,What borough has a Gini Coefficient of 0.6?,New_York_City
2048,What previous mayor of New York is a billionaire?,New_York_City
2049,"In 2014, millionaires made up what percentage of New York City's population?",New_York_City
2050,"By 2013, which city had the most billionaires living in the city?",New_York_City
2051,In what year did the Port of New York and New Jersey deal with unprecedented cargo volume?,New_York_City
2052,In what year was New York ranked first on the Global Economic Power Index?,New_York_City
2053,What fraction of New Yorkers in the private sector are employed by foreign companies?,New_York_City
2054,What publication ranked New York first in the 2013 American Cities of the Future rankings?,New_York_City
2055,What was the 2015 assessed value of all the property in New York?,New_York_City
2056,How much was Time Warner Center worth in 2006?,New_York_City
2057,What was the price per square foot of 450 Park Avenue when it sold in July 2007?,New_York_City
2058,What was the price per square meter of 660 Madison Avenue in June 2007?,New_York_City
2059,"Of the top 10 zip codes with the most expensive housing prices in the United States, how many are in Manhattan?",New_York_City
2060,Which building has the highest market value in NYC?,New_York_City
2061,The previous record beaten by Park Avenue was for what real estate?,New_York_City
2062,What is the popular name of New York's advertising industry?,New_York_City
2063,About how much does it cost per year to pay workers in the New York fashion industry?,New_York_City
2064,NYC's fashion industry employs how many people?,New_York_City
2065,The Two highest advertising agencies in the world located in NYC are called what?,New_York_City
2066,How many New Yorkers work in the food processing field?,New_York_City
2067,What is the annual revenue of the food processing industry?,New_York_City
2068,In what borough is the garment business prominent?,New_York_City
2069,What dollar amount of chocolate does New York export annually?,New_York_City
2070,In what borough is Godiva based?,New_York_City
2071,What is the number one specialty food export of New York?,New_York_City
2072,What type of food is NYC's leading food export?,New_York_City
2073,Which one of the world's largest chocolate makers is stationed in Manhattan?,New_York_City
2074,"As of 2013, how many people worked for a securities business in New York?",New_York_City
2075,What percentage of the city's wages does the securities industry provide?,New_York_City
2076,22 Percent of NYC's total wages are from what industry?,New_York_City
2077,On what street is the New York Stock Exchange headquartered?,New_York_City
2078,What is the street address of NASDAQ?,New_York_City
2079,"In 2012, how many investment banking fees were paid out to Wall Street?",New_York_City
2080,The NASDAQ is located on what street in NYC?,New_York_City
2081,How many square meters of office space does Manhattan have?,New_York_City
2082,About how many million square feet of office space is present in Midtown Manhattan?,New_York_City
2083,What is the street address of the headquarters of Verizon Communciations?,New_York_City
2084,How much did Verizon spend on fiber optic upgrades in New York City?,New_York_City
2085,"Along with Cornell University, what institution is involved in the building of Cornell Tech?",New_York_City
2086,On what island is Cornell Tech located?,New_York_City
2087,About how much capital did Accelerator raise as of the middle of 2014?,New_York_City
2088,How large is the Alexandria Center for Life Science in square meters?,New_York_City
2089,"In 2011, what school was built on Roosevelt Island?",New_York_City
2090,How many people came to visit New York in 2013?,New_York_City
2091,What is the record number of tourists that have visited New York in a year?,New_York_City
2092,How much money did tourism create for New York in 2014?,New_York_City
2093,How many tourists that visited NYC in 2014 broke the record?,New_York_City
2094,How many tourists visited NYC in 2013?,New_York_City
2095,What English phrase does I ❤ NY represent?,New_York_City
2096,When was I ❤ NY first used in advertisements?,New_York_City
2097,Who owns the trademark to I ❤ NY?,New_York_City
2098,What is the state song of New York?,New_York_City
2099,In what neighborhood does the Halloween Parade take place?,New_York_City
2100,What company sponsors the Thanksgiving Day parade?,New_York_City
2101,At what location is a Christmas tree famously lit every year?,New_York_City
2102,What was the percentage increase of Manhattan hotel rooms between 2013 and 2014?,New_York_City
2103,Who owns the Waldorf Astoria?,New_York_City
2104,What was the October 2014 purchase price of the Waldorf Astoria?,New_York_City
2105,Who bought the Waldorf Astoria hotel in NYC in 2014?,New_York_City
2106,The Waldorf Astoria hotel sold for how many dollars?,New_York_City
2107,Approximately how many feature films are made in New York City every year?,New_York_City
2108,How many New Yorkers work in the television and film industry?,New_York_City
2109,How much money does the New York film and television industry create every year?,New_York_City
2110,What United States city is the second most popular for pilot episode location filming?,New_York_City
2111,"Along with Warner Music Group, what top three record label is based in New York City?",New_York_City
2112,"Out of the top eight advertising agency networks in the world, how many are based in New York?",New_York_City
2113,How many people work in the New York publishing industry?,New_York_City
2114,"Along with the New York Times, what national daily newspaper is based in New York?",New_York_City
2115,What was the founding year of the New York Daily News?,New_York_City
2116,Who was the founder of the New York Post?,New_York_City
2117,How many newspaper offices are located in New York?,New_York_City
2118,Which two national newspapers are located in New York?,New_York_City
2119,When was the New York Daily News founded?,New_York_City
2120,"Along with ABC and NBC, what other major broadcaster is based in New York?",New_York_City
2121,What is the name of the city's public television service?,New_York_City
2122,What cable news channel is based in New York?,New_York_City
2123,In what year did the Manhattan Neighborhood Network begin?,New_York_City
2124,What is the primary public television station in New York?,New_York_City
2125,What is the largest public radio station in the US by audience size?,New_York_City
2126,In what year did the city cease to own WNYC?,New_York_City
2127,The public-assess TV channel that has been around the longest in the US in what?,New_York_City
2128,The largest public radio station by listeners is what in New York?,New_York_City
2129,What city department runs the public school system?,New_York_City
2130,About how many public schools are there in New York City?,New_York_City
2131,How many high schools for gifted students does New York City have?,New_York_City
2132,How many highschools are specialized in NYC?,New_York_City
2133,What institution aids in the creation of charter schools in New York?,New_York_City
2134,About how many private schools does New York have?,New_York_City
2135,About how many students attend schools in the City University of New York system?,New_York_City
2136,What fraction of Manhattan residents have graduate degrees?,New_York_City
2137,What is the second largest library in the US?,New_York_City
2138,What is the name of the library system in Queens?,New_York_City
2139,What is Brooklyn's public library system called?,New_York_City
2140,"Along with Staten Island and the Bronx, what borough is served by the New York Public Library?",New_York_City
2141,The largest municipal healthcare in the US is what?,New_York_City
2142,How many hospitals does HHC operate?,New_York_City
2143,In what year was the New York City Health and Hospitals Corporation founded?,New_York_City
2144,How many nursing homes does HHC operate?,New_York_City
2145,Who is the president of HHC?,New_York_City
2146,"If the Prime Minister of the United Kingdom becomes sick in New York City, what hospital does he go to?",New_York_City
2147,Who is the HHC president?,New_York_City
2148,In what state did the president of HHC previously work?,New_York_City
2149,The largest police presence in the US is NYPD with how many people?,New_York_City
2150,NYPD officers have a nickname that is known as what?,New_York_City
2151,What does the acronym NYPD stand for?,New_York_City
2152,About how many police work for the NYPD?,New_York_City
2153,What is the nickname given to New York City Police Department officers?,New_York_City
2154,What was the low record for homicides in 2014 in NYC?,New_York_City
2155,What percentage decrease in violent crime did the city see between 1993 and 2005?,New_York_City
2156,"As of 2002, to what city did New York have a comparable crime rate?",New_York_City
2157,How many homicides were there in New York City in 2014?,New_York_City
2158,"In the first half of 2010, what percentage of shooting victims were African-American or Hispanic?",New_York_City
2159,What group controlled the Mafia in New York in the 20th century?,New_York_City
2160,What was a notable 20th century gang in New York?,New_York_City
2161,What is the largest fire department force in the world?,New_York_City
2162,What is the second largest fire department force in the world?,New_York_City
2163,What is the The New York City Fire Department's motto?,New_York_City
2164,What does FDNY stand for?,New_York_City
2165,How many firefighters work for the New York City Fire Department?,New_York_City
2166,The FDNY employs about how many paramedics and EMTs?,New_York_City
2167,What is the motto of the New York City Fire Department?,New_York_City
2168,What types of fires can start in parks and woodlands?,New_York_City
2169,Which island is home to the Fire academy in NYC?,New_York_City
2170,What is the street address of the New York Fire Department headquarters?,New_York_City
2171,In what borough is the FDNY headquartered?,New_York_City
2172,Where is the fire department's training academy located?,New_York_City
2173,What is the street address of the Bureau of Fire Communications alarm office in Brooklyn?,New_York_City
2174,Jazz became popular during which decade in NYC?,New_York_City
2175,What musical style was prominent in New York in the 1940s?,New_York_City
2176,What was the name of the new musical style that emerged from New York in the 1970s?,New_York_City
2177,One of the biggest fashion shows in the world is named what in New York?,New_York_City
2178,By what other name is abstract expressionism known?,New_York_City
2179,What is the name of the prominent fashion event that occurs in New York?,New_York_City
2180,Who ranked New York as the fashion capital of the world?,New_York_City
2181,The Broadway Musical began in what decade?,New_York_City
2182,Who was Hart's writing partner?,New_York_City
2183,How many people attended Broadway shows during the 2013-2014 season?,New_York_City
2184,What is the nickname of the Times Square Theater District?,New_York_City
2185,What was the dollar amount of the tickets sold on Broadway in 2013-14?,New_York_City
2186,What was the percentage increase in the Broadway ticket revenue from 2012-3 to 2013-4?,New_York_City
2187,How many people attended a Broadway show in the 2013-4 season?,New_York_City
2188,"In 2012-3, what number of people saw a show on Broadway?",New_York_City
2189,How many restaurants are there in NYC?,New_York_City
2190,How many mobile food vendors operate in New York City?,New_York_City
2191,How many restaurants is New York home to?,New_York_City
2192,What public department inspects the restaurants of New York?,New_York_City
2193,"According to Michelin, about how many fine dining restaurants exist in New York?",New_York_City
2194,The Brooklyn Dodgers were created in what year?,New_York_City
2195,Which four of the world's most expensive stadiums are located in NYC?,New_York_City
2196,Which two sports stadiums of New York City were featured on US stamps?,New_York_City
2197,In what year were the Brooklyn Dodgers founded?,New_York_City
2198,What professional soccer organization is headquartered in New York?,New_York_City
2199,How many professional sports leagues have their headquarters in New York?,New_York_City
2200,It is one of only five areas to contain two teams of what sport?,New_York_City
2201,How many Major League baseball league pennants have New York teams won?,New_York_City
2202,How many professional baseball teams are located in New York?,New_York_City
2203,How many times have two teams from New York played against each other in the World Series?,New_York_City
2204,What is the nickname for a World Series where two New York teams play against each other?,New_York_City
2205,The New York Giants and the New York Jets place at which stadium in NYC?,New_York_City
2206,"Along what the New York Jets, what NFL team is based in New York?",New_York_City
2207,What Super Bowl took place at MetLife Stadium?,New_York_City
2208,In what year did a Super Bowl occur at MetLife Stadium?,New_York_City
2209,There are two hockey teams located in NYC. What are they?,New_York_City
2210,Which town do the New Jersey Devils hockey team play?,New_York_City
2211,In what city are the New Jersey Devils located?,New_York_City
2212,What sport do the New York Rangers play?,New_York_City
2213,Which two national basketball teams play in NYC?,New_York_City
2214,New York City's women's basketball team is called what?,New_York_City
2215,What Women's National Basketball Association team is based in New York?,New_York_City
2216,What is the name of the collegiate basketball championship that takes place in New York?,New_York_City
2217,In what year was the inaugural National Invitation Tournament?,New_York_City
2218,The Wanamaker Mile is an event by which annual track and field meeting?,New_York_City
2219,"The oldest, longest horse races in the US are located in NYC called what?",New_York_City
2220,The Amateur Boxing Golden Gloves are held at which location in NYC?,New_York_City
2221,What tennis Grand Slam event is held at the National Tennis Center?,New_York_City
2222,How many people completed the New York Marathon in 2006?,New_York_City
2223,What annual sporting competition features the Wanamaker Mile?,New_York_City
2224,At what venue does the Amateur Boxing Golden Gloves take place?,New_York_City
2225,In what borough is Stickball Boulevard located?,New_York_City
2226,Which subway system is considered the largest in the world?,New_York_City
2227,Which station is known as the world's biggest railroad station?,New_York_City
2228,How many people rode the New York City Subway in 2014?,New_York_City
2229,What is the nickname given to Grand Central Terminal?,New_York_City
2230,How many minutes does it take the average New Yorker to get to work?,New_York_City
2231,"In 2005, what percentage of New York residents used mass transit to get to work?",New_York_City
2232,"In minutes, how long does it take for the average New Yorker to get to work?",New_York_City
2233,What percentage of New York households don't own an automobile?,New_York_City
2234,What percentage of Manhattan residents own an automobile?,New_York_City
2235,The busiest bus station in the world in the world is called what?,New_York_City
2236,How many New Yorkers ride the bus on a daily basis?,New_York_City
2237,The three airports that have the most people come through them in NYC are which?,New_York_City
2238,"In 2011, what airport did the most international travelers in North America visit?",New_York_City
2239,What city is Stewart International Airport located close to?,New_York_City
2240,"How many travelers visited JFK, LaGuardia and Newark Liberty in 2012?",New_York_City
2241,The world's most popular ferry route is which in NYC? ,New_York_City
2242,How many hours a day does the The Staten Island Ferry run?,New_York_City
2243,"Staring in State Island, in what borough does the Staten Island Ferry's route terminate?",New_York_City
2244,How many passengers ride the Staten Island Ferry annually?,New_York_City
2245,Which bridge in NYC is the busiest in the world?,New_York_City
2246,The biggest suspension bridge in the US is what?,New_York_City
2247,The bridge made with steel-wire is which in NYC?,New_York_City
2248,What is the busiest bridge for cars in the world?,New_York_City
2249,"Starting in Manhattan, the George Washington Bridge terminates in what New Jersey county?",New_York_City
2250,What is the longest suspension bridge in the United States?,New_York_City
2251,What style of architecture was used to design the Brooklyn Bridge?,New_York_City
2252,In what year did the Brooklyn Bridge cease to be the world's longest suspension bridge?,New_York_City
2253,"Which tunnel do 120,000 vehicles travel through a day in NYC?",New_York_City
2254,The Holland Tunnel opened in what year?,New_York_City
2255,The Queens-Midtown Tunnel was finished in what year?,New_York_City
2256,Who was the first person to drive through The Queens-Midtown Tunnel?,New_York_City
2257,How many vehicles utilize the Lincoln Tunnel daily?,New_York_City
2258,What body of water is above the Lincoln Tunnel?,New_York_City
2259,What borough is connected to New Jersey via the Lincoln Tunnel?,New_York_City
2260,How many daily bicycle riders are there in NYC?,New_York_City
2261,"Each day, about how many New Yorkers bike?",New_York_City
2262,About what percentage of New York City travel is done by bike or on foot?,New_York_City
2263,"What company paid for 10,000 bikes for the city's bicycle sharing program?",New_York_City
2264,Research by what institution of higher learning showed that most New Yorkers support bicycle sharing?,New_York_City
2265,Who ranked New York as the most walkable large US city in 2015?,New_York_City
2266,From what mountain range does New York's drinking water come from?,New_York_City
2267,How much is being spent on a water purification plant at the Croton Watershed?,New_York_City
2268,"After the water purification plant at the Croton Watershed is built, how much more water will be added to the city's supply each day?",New_York_City
2269,What percent increase in water supply will the city see after the Croton Watershed plant is finished?,New_York_City
2270,In what geographical direction would a New Yorker travel to reach the Croton Watershed?,New_York_City
2271,How many members are on the NYC city council?,New_York_City
2272,How many terms can the mayjor of NYC serve in total?,New_York_City
2273,What is the duration of a New York City councilperson's term?,New_York_City
2274,How many councilors sit on the City Council?,New_York_City
2275,How many terms in a row can a person serve as mayor?,New_York_City
2276,What is the official journal of New York City?,New_York_City
2277,"In 2008, what percentage of voters were democrats?",New_York_City
2278,Which US president became the first to receive over 80 percent of NYC votes?,New_York_City
2279,What was the last year that a republican candidate won all four boroughs of NYC?,New_York_City
2280,Which president won all of NYC in 1924?,New_York_City
2281,What political party was Calvin Coolidge a member of?,New_York_City
2282,"As of 2012, how many physicians were working in New York City?",New_York_City
2283,Where is the Cornell University/Technion-Israel Institute of Technology located?,New_York_City
2284,"As of 2004, how many Nobel Prize winners had roots in New York institutions?",New_York_City
2285,How many people are admitted to HHC institutions annually?,New_York_City
2286,How many people visit HHC clinics annually?,New_York_City
2287,What fraction of emergency room visits receive treatment at HHC?,New_York_City
2288,Being exposed to what type of pollution has been theorized to increase aggression?,New_York_City
2289,The decrease in crime in New York is sometimes attributed to the decline of what street drug?,New_York_City
2290,"Who commented on New York that ""culture just seems to be in the air, like part of the weather""?",New_York_City
2291,"In what library can the book New York, culture capital of the world, 1940–1965 be found?",New_York_City
2292,What institution of higher education has described New York as the cultural capital of the world?,New_York_City
2293,"Along with Latvia, the consulate of what country has called New York the cultural capital of the world?",New_York_City
2294,In what part of Manhattan can you find Lincoln Square?,New_York_City
2295,At what institution of higher education is the Tisch School of the Arts located?,New_York_City
2296,In what New York park can one find performances at no cost?,New_York_City
2297,What New York thoroughfare is Museum Mile located on?,New_York_City
2298,In what borough is Museum Mile located?,New_York_City
2299,When was the Guggenheim built?,New_York_City
2300,In what part of Manhattan is the Museum Mile located?,New_York_City
2301,"Along with New Yorkese, what is another name for the New York dialect?",New_York_City
2302,What actor performed the role of Archie Bunker?,New_York_City
2303,What is the transliteration of the way in which New Yorkers are perceived to pronounce the name of their city?,New_York_City
2304,What Major League Soccer franchise is based in New York?,New_York_City
2305,What stadium does the New York City FC call home?,New_York_City
2306,What famous soccer player played for the New York Cosmos?,New_York_City
2307,At what institution of higher education is James M. Shuart Stadium located?,New_York_City
2308,What fraction of United States rail riders call the New York City Metropolitan Area home?,New_York_City
2309,How many rail lines are there on New York City's commuter rail network?,New_York_City
2310,About how many stations does New York City's commuter rail network have?,New_York_City
2311,What Amtrak station in New York sees the most use?,New_York_City
2312,In what borough is Pennsylvania Station located?,New_York_City
2313,What 24-hour rapid transit system is in Philadelphia?,New_York_City
2314,About how many yellow cabs operate in New York?,New_York_City
2315,Where does the aerial tramway that starts on Roosevelt Island terminate?,New_York_City
2316,What industry is Wall Street associated with?,New_York_City
2317,What New York street is associated with fashion?,New_York_City
2318,At what time are drivers in New York most likely to experience traffic jams?,New_York_City
2319,What geographical portion of Connecticut is linked to New York via highway?,New_York_City
2320,What island is the borough of Brooklyn located on?,New_York_City
2321,Queens is located on what part of Long Island?,New_York_City
2322,How many clean diesel and hybrid taxicabs did New York City have in 2010?,New_York_City
2323,What percentage of the New York City cab fleet was clean diesel or hybrid in 2010?,New_York_City
2324,What percent reduction of greenhouse gases does Mayor de Blasio want to see by 2050?,New_York_City
2325,What is the name of a notable green office building in New York?,New_York_City
2326,What legal case sought to compel the Environmental Protection Agency to regular greenhouse gases?,New_York_City
2327,What notable accidental fossil fuel discharge occurred at Newtown Creek?,New_York_City
2328,In what year did New York City adopt the mayor-council form of government?,New_York_City
2329,In what borough is the Appellate Division of the Supreme Court located?,New_York_City
2330,What branch of government are the administrative courts a part of?,New_York_City
2331,In what borough is the main courthouse of the District Court for the Southern District of New York located?,New_York_City
2332,What federal district court has its main courthouse in Brooklyn?,New_York_City
2333,What square is home to the US Court of International Trade?,New_York_City
2334,In what borough is the New York City Hall found?,New_York_City
2335,Four-fifths of the ZIP codes that provide the highest amount of political contributions in the United States are located in what borough?,New_York_City
2336,How much more money does the city give to the state of New York annually than it receives?,New_York_City
2337,"What is the new name of the Sister City Program of the City of New York, Inc.?",New_York_City
2338,"In what year did the Sister City Program of the City of New York, Inc. have its name changed?",New_York_City
2339,When did To Kill a Mockingbird first get circulated?,To_Kill_a_Mockingbird
2340,Who wrote the novel To Kill a Mockingbird?,To_Kill_a_Mockingbird
2341,What year was To Kill a Mockingbird first published?,To_Kill_a_Mockingbird
2342,Whom did Lee base the characters in To Kill a Mockingbird on?,To_Kill_a_Mockingbird
2343,To Kill a Mockingbird is widely read in which countries schools?,To_Kill_a_Mockingbird
2344,What genre of book is To Kill a Mockingbird?,To_Kill_a_Mockingbird
2345,Some of the central themes of the book are what exactly?,To_Kill_a_Mockingbird
2346,Which region of America was the novel set in?,To_Kill_a_Mockingbird
2347,What has caused  the use of the novel in classrooms to be challenged?,To_Kill_a_Mockingbird
2348,"When did a play for the book begin to perform every year in Monroeville, Alabama?",To_Kill_a_Mockingbird
2349,Who wrote the screenplay for the 1962 film?,To_Kill_a_Mockingbird
2350,What is Harper Lee's hometown?,To_Kill_a_Mockingbird
2351,When did Harper Lee pass away?,To_Kill_a_Mockingbird
2352,When was the second book published?,To_Kill_a_Mockingbird
2353,When did Lee die?,To_Kill_a_Mockingbird
2354,Which state did Harper Lee spend her childhood?,To_Kill_a_Mockingbird
2355,What publishing company bought To Kill a Mockingbird?,To_Kill_a_Mockingbird
2356,What was the name of  the editor who helped Lee finish her book?,To_Kill_a_Mockingbird
2357,What ailment did Harper Lee's mother suffer from?,To_Kill_a_Mockingbird
2358,What profession did Harper Lee's father hold?,To_Kill_a_Mockingbird
2359,Lee modeled the character Atticus after what laywer?,To_Kill_a_Mockingbird
2360,What date did To Kill a Mockingbird begin to circulate?,To_Kill_a_Mockingbird
2361,What publication's partial reprinting gave the book wide public exposure?,To_Kill_a_Mockingbird
2362,Where is the setting for To Kill a Mockingbird?,To_Kill_a_Mockingbird
2363,How many years does the story of To Kill a Mockingbird take place?,To_Kill_a_Mockingbird
2364,"How many children does the protagonist, Atticus Finch, have?",To_Kill_a_Mockingbird
2365,In what historical era does the book take place?,To_Kill_a_Mockingbird
2366,Who is the main character of the book?,To_Kill_a_Mockingbird
2367,What is the name of Atticus' client in the rape trial?,To_Kill_a_Mockingbird
2368,Who stopped the mob by shaming them?,To_Kill_a_Mockingbird
2369,"Where do Jem, Scout, and Dill observe the trial of Tom Robinson?",To_Kill_a_Mockingbird
2370,What happens to Tom when he attempts to escape prison?,To_Kill_a_Mockingbird
2371,What event did Jem and Scout attend right before they were attacked at night?,To_Kill_a_Mockingbird
2372,Who saved Jem and Scout from Bob Ewell?,To_Kill_a_Mockingbird
2373,Who attacked Scout and Jem?,To_Kill_a_Mockingbird
2374,Who rescued Scout and Jem?,To_Kill_a_Mockingbird
2375,What was the name of the police officer who discovered Bob Ewell's body?,To_Kill_a_Mockingbird
2376,"According to Sheriff Tate's story, how did Ewell die?",To_Kill_a_Mockingbird
2377,Harper Lee has stated that To Kill a Mockingbird is not what genre of book?,To_Kill_a_Mockingbird
2378,At what age did Harper Lee's mother die?,To_Kill_a_Mockingbird
2379,What titles did Lee's father maintain at the local newspaper?,To_Kill_a_Mockingbird
2380,What year did Lee and Capote go to Kansas together?,To_Kill_a_Mockingbird
2381,Murders were the base for which story that Capote wrote?,To_Kill_a_Mockingbird
2382,Who was the character Dill modeled after?,To_Kill_a_Mockingbird
2383,What did Lee and Capote write their childhood stories on?,To_Kill_a_Mockingbird
2384,What term did Capote use to describe Lee and himself?,To_Kill_a_Mockingbird
2385,At what age was Lee when a white woman accused a black guy of rape?,To_Kill_a_Mockingbird
2386,What was the name of the black man who was accused of rape in Lee's town when she was 10?,To_Kill_a_Mockingbird
2387,What was the name of the black teenager that Tom Robinson was supposedly based on?,To_Kill_a_Mockingbird
2388,Emmett Till's death sparked which political movement in the '50s?,To_Kill_a_Mockingbird
2389,Who's death was a catalyst for the Civil Rights Movement?,To_Kill_a_Mockingbird
2390,What two forms of humor are most found in To Kill a Mockingbird?,To_Kill_a_Mockingbird
2391,Where does Jem trap a fellow peer of school in the story?,To_Kill_a_Mockingbird
2392,What is the name of the maid who works in the Finch's household?,To_Kill_a_Mockingbird
2393,How does Scout respond to the audience?,To_Kill_a_Mockingbird
2394,What saves Scout's life?,To_Kill_a_Mockingbird
2395,What genre of book is To Kill a Mockingbird typically called?,To_Kill_a_Mockingbird
2396,What term did Lee use to describe the town's courthouse?,To_Kill_a_Mockingbird
2397,Who does Scout revere above everyone else?,To_Kill_a_Mockingbird
2398,What was the name of the neighbor that Jem speaks too after Tom Robinson's trial?,To_Kill_a_Mockingbird
2399,What des Jem struggle to understand?,To_Kill_a_Mockingbird
2400,When did the Montgomery Bus Boycott take place?,To_Kill_a_Mockingbird
2401,The main jurors in Tom Robinson's trial were all which race?,To_Kill_a_Mockingbird
2402,How many times was Tom shot?,To_Kill_a_Mockingbird
2403,Atticus is tasked with killing what animal in the novel?,To_Kill_a_Mockingbird
2404,What is Atticus shooting the rabid dog symbolic of?,To_Kill_a_Mockingbird
2405,Who does the cooking at the Finch's house?,To_Kill_a_Mockingbird
2406,Who is Atticus Finch's sibling?,To_Kill_a_Mockingbird
2407,Who does Scout Tease and humiliate at their house?,To_Kill_a_Mockingbird
2408,Both authors valued what over social standing?,To_Kill_a_Mockingbird
2409,What two factors did Lee demonstrate intensified prejudice?,To_Kill_a_Mockingbird
2410,The children's non-judgmental attitude gave them a greater understanding of what?,To_Kill_a_Mockingbird
2411,Mrs. Dubose suffers from an addiction to what?,To_Kill_a_Mockingbird
2412,Who is the moral center of the novel?,To_Kill_a_Mockingbird
2413,The novel explores various forms of what trait?,To_Kill_a_Mockingbird
2414,Who has written the only biography of Harper Lee?,To_Kill_a_Mockingbird
2415,Who are Scout's two primary female models?,To_Kill_a_Mockingbird
2416,Who chastis Scout for the way she dresse and accuses her of ruining her family name?,To_Kill_a_Mockingbird
2417,Tomboy Scout grows up tto become what?,To_Kill_a_Mockingbird
2418,"In the book, which character was expected of molesting their child?",To_Kill_a_Mockingbird
2419,Who was the only non-abusive father mentioned?,To_Kill_a_Mockingbird
2420,Which character is chastised in the book for marrying a black woman?,To_Kill_a_Mockingbird
2421,Who does Charles Lamb speculate were once children?,To_Kill_a_Mockingbird
2422,What is another name for Scout's pink cotton penitentiary?,To_Kill_a_Mockingbird
2423,Which animal serves as a symbol throughout the book?,To_Kill_a_Mockingbird
2424,Harper Lee's mother's maiden name was what?,To_Kill_a_Mockingbird
2425,"Which bird does Atticus Finch say is a ""sin to kill?""",To_Kill_a_Mockingbird
2426,"According to Atticus, which bird is it a sin to shoot?",To_Kill_a_Mockingbird
2427,"Symbolically, killing a mockingbird is killing what according to Edwin Bruell?",To_Kill_a_Mockingbird
2428,Reader's Digest included To Kill a Mockingbird in what program of theirs?,To_Kill_a_Mockingbird
2429,The book's availablity increased through inclusion in what book service?,To_Kill_a_Mockingbird
2430,"After one year when To Kill a Mockingbird first came out, how many languages has it been printed in?",To_Kill_a_Mockingbird
2431,How many copies has To Kill a Mockingbird sold since it first came out?,To_Kill_a_Mockingbird
2432,How many languages has the book been translated into?,To_Kill_a_Mockingbird
2433,Public figure's impressions of the novel were formed into a book called what?,To_Kill_a_Mockingbird
2434,What book compiled Adults'  impressions and their impressions as children about the novel?,To_Kill_a_Mockingbird
2435,Atticus Finch's integrity has become a model for which job?,To_Kill_a_Mockingbird
2436,Atticus Finch is a model of what for legal professionals?,To_Kill_a_Mockingbird
2437,What year was a statue of Atticus build in Alabama?,To_Kill_a_Mockingbird
2438,Harper Lee was given a membership to what in 2008?,To_Kill_a_Mockingbird
2439,What did the Alabama State Bar bestow on Lee in 2008?,To_Kill_a_Mockingbird
